,Rank,College Name,address,Number of Full-Time Undergraduates,Niche Overall Grade,Location,Acceptance Rate,niche_url,county
58,59,University of Cincinnati,"2624 Clifton Avenue, Cincinnati, OH 45221","21,017",A-,"Cincinnati, OH",85.58%,https://www.niche.com/colleges/university-of-cincinnati/, Hamilton County
59,60,Montclair State University,"1 Normal Avenue, Montclair, NJ 07043","21,000",B,"Montclair Township, NJ",70.07%,https://www.niche.com/colleges/montclair-state-university/, Passaic County
60,61,Colorado State University,"711 Oval Drive Ammons Hall, Fort Collins, CO 80521","20,769",A,"Fort Collins, CO",80.82%,https://www.niche.com/colleges/colorado-state-university/, Larimer County
61,62,University of Tennessee,"527 Andy Holt Tower, Knoxville, TN 37996","20,569",A-,"Knoxville, TN",76.3%,https://www.niche.com/colleges/university-of-tennessee/, Knox County
62,63,West Virginia University,"PO Box 6201Morgantown, WV 26506","20,532",A-,"Morgantown, WV",85.81%,https://www.niche.com/colleges/west-virginia-university/,Monongalia County
63,64,California State University - Los Angeles,"5151 State University Dr, Los Angeles, CA 90032","20,380",B-,"Los Angeles, CA",68.13%,https://www.niche.com/colleges/california-state-university---los-angeles/, Los Angeles County
64,65,University of California - Santa Barbara,"5221 Cheadle Hall, Santa Barbara, CA 93106","20,243",A+,"Santa Barbara, CA",32.64%,https://www.niche.com/colleges/university-of-california---santa-barbara/, Santa Barbara County
65,66,University of Texas - San Antonio,"One UTSA Circle, San Antonio, TX 78249","20,234",B,"San Antonio, TX",77.95%,https://www.niche.com/colleges/university-of-texas---san-antonio/, Bexar County
66,67,Southern New Hampshire University,"2500 North River Road, Manchester, NH 03106","20,193",B,"Manchester, NH",84%,https://www.niche.com/colleges/southern-new-hampshire-university/, Merrimack County
67,68,Virginia Commonwealth University,"910 W Franklin St, Richmond, VA 23284","20,137",B+,"Richmond, VA",78.95%,https://www.niche.com/colleges/virginia-commonwealth-university/, Richmond City
68,69,University of Iowa,"108 Calvin Hall, Iowa City, IA 52242","19,911",A,"Iowa City, IA",80.74%,https://www.niche.com/colleges/university-of-iowa/, Johnson County
69,70,University of North Carolina at Charlotte,"9201 University City Blvd, Charlotte, NC 28223","19,765",B+,"Charlotte, NC",63.31%,https://www.niche.com/colleges/university-of-north-carolina-at-charlotte/, Mecklenburg County
70,71,Auburn University,"The Quad Center, Auburn, AL 36849","19,738",A,"Auburn, AL",77.66%,https://www.niche.com/colleges/auburn-university/, Lee County
71,72,California State Polytechnic University - Pomona,"3801 West Temple Avenue, Pomona, CA 91768","19,615",B,"Pomona, CA",39.31%,https://www.niche.com/colleges/california-state-polytechnic-university---pomona/, Los Angeles County
72,73,University of Arkansas,"Administration Bldg 425Fayetteville, AR 72701","19,607",A,"Fayetteville, AR",60.06%,https://www.niche.com/colleges/university-of-arkansas/, Washington County
73,74,Grand Valley State University,"One Campus Drive, Allendale, MI 49401","19,376",B+,"Allendale, MI",81.14%,https://www.niche.com/colleges/grand-valley-state-university/, Ottawa County
74,75,East Carolina University,"East 5th Street, Greenville, NC 27858","19,336",B+,"Greenville, NC",69.04%,https://www.niche.com/colleges/east-carolina-university/, Pitt County
75,76,California Polytechnic State University - San Luis Obispo,"1 Grand Ave.San Luis Obispo, CA 93407","19,318",A,"San Luis Obispo, CA",31.29%,https://www.niche.com/colleges/california-polytechnic-state-university---san-luis-obispo/,San Luis Obispo County
76,77,Kent State University,"Executive Office, 2nd Floor Library, Kent, OH 44242","19,207",B,"Kent, OH",84.76%,https://www.niche.com/colleges/kent-state-university/, Stark County
77,78,University of Nebraska - Lincoln,"14th and R St, Lincoln, NE 68588","18,817",A,"Lincoln, NE",76.36%,https://www.niche.com/colleges/university-of-nebraska---lincoln/, Lancaster County
78,79,Georgia State University,"33 Gilmer Street SEAtlanta, GA 30327","18,813",B+,"Atlanta, GA",56.65%,https://www.niche.com/colleges/georgia-state-university/, Fulton County
79,80,Lone Star College System,"5000 Research Forest Drive, The Woodlands, TX 77381","18,683",B-,"The Woodlands, TX",100%,https://www.niche.com/colleges/lone-star-college-system/, Montgomery County
80,81,California State University - Fresno,"5241 N Maple Ave, Fresno, CA 93740","18,671",B,"Fresno, CA",52.19%,https://www.niche.com/colleges/california-state-university---fresno/, Fresno County
81,82,University of Oregon,"110 Johnson Hall, Eugene, OR 97403","18,630",A,"Eugene, OR",74.22%,https://www.niche.com/colleges/university-of-oregon/, Lane County
82,83,Oregon State University,"1500 SW Jefferson Avenue, Corvallis, OR 97331","18,493",A-,"Corvallis, OR",78.36%,https://www.niche.com/colleges/oregon-state-university/, Benton County
83,84,"University at Buffalo, SUNY","12 Capen Hall, Buffalo, NY 14260","18,452",A-,"Buffalo, NY",59.99%,https://www.niche.com/colleges/university-at-buffalo-suny/, Erie County
