,school,school_logo,cases,location
111,Midwestern State University,https://static01.nyt.com/newsgraphics/2020/07/20/college-coronavirus-cases/8b8985d30e09c84d02fe62f34c473cb665183907/logos/msu.jpg,10,"Wichita Falls, Texas"
112,Rutgers University-New Brunswick*,https://static01.nyt.com/newsgraphics/2020/07/20/college-coronavirus-cases/8b8985d30e09c84d02fe62f34c473cb665183907/logos/164.png,10,"New Brunswick, N.J."
113,University of North Carolina at Pembroke,https://logo.clearbit.com/uncp.edu,10,"Pembroke, N.C."
114,Bradley University,https://logo.clearbit.com/bradley.edu,10,"Peoria, Ill."
115,Elon University,https://logo.clearbit.com/elon.edu,9,"Elon, N.C."
116,University of Rochester,https://logo.clearbit.com/rochester.edu,9,"Rochester, N.Y."
117,Dixie State University,https://logo.clearbit.com/dixie.edu,9,"St. George, Utah"
118,University of Northern Colorado,https://logo.clearbit.com/unco.edu,9,"Greeley, Colo."
119,University of Nebraska-Lincoln,https://static01.nyt.com/newsgraphics/2020/07/20/college-coronavirus-cases/8b8985d30e09c84d02fe62f34c473cb665183907/logos/158.png,9,"Lincoln, Neb."
120,Edmonds College,https://static01.nyt.com/newsgraphics/2020/07/20/college-coronavirus-cases/8b8985d30e09c84d02fe62f34c473cb665183907/logos/utd.jpg,8,"Lynnwood, Wash."
121,Dartmouth College,https://logo.clearbit.com/dartmouth.edu,8,"Hanover, N.H."
122,Ohio University*,https://static01.nyt.com/newsgraphics/2020/07/20/college-coronavirus-cases/8b8985d30e09c84d02fe62f34c473cb665183907/logos/195.png,8,"Athens, Ohio"
123,SUNY College at Potsdam,https://logo.clearbit.com/potsdam.edu,8,"Potsdam, N.Y."
124,University of Northern Iowa,https://logo.clearbit.com/uni.edu,8,"Cedar Falls, Iowa"
125,Harris-Stowe State University,https://logo.clearbit.com/hssu.edu,8,St. Louis
126,University of Houston,https://static01.nyt.com/newsgraphics/2020/07/20/college-coronavirus-cases/8b8985d30e09c84d02fe62f34c473cb665183907/logos/248.png,7,Houston
127,SUNY University at Buffalo,https://logo.clearbit.com/buffalo.edu,7,Buffalo
128,Arkansas State University*,https://logo.clearbit.com/astate.edu,7,"Jonesboro, Ark."
129,"California State University, East Bay",https://logo.clearbit.com/csueastbay.edu,7,"Hayward, Calif."
130,University of Denver,https://logo.clearbit.com/du.edu,7,Denver
131,Mississippi Valley State University,https://logo.clearbit.com/mvsu.edu,7,"Itta Bena, Miss."
