,school,school_logo,cases,location
12,Stanford University,https://static01.nyt.com/newsgraphics/2020/07/20/college-coronavirus-cases/8b8985d30e09c84d02fe62f34c473cb665183907/logos/24.png,99,"Stanford, Calif."
13,University of Texas Rio Grande Valley,https://logo.clearbit.com/utrgv.edu,95,"Edinburg, Texas"
14,Georgia Institute of Technology,https://static01.nyt.com/newsgraphics/2020/07/20/college-coronavirus-cases/8b8985d30e09c84d02fe62f34c473cb665183907/logos/59.png,94,Atlanta
15,Appalachian State University,https://static01.nyt.com/newsgraphics/2020/07/20/college-coronavirus-cases/8b8985d30e09c84d02fe62f34c473cb665183907/logos/2026.png,94,"Boone, N.C."
16,United States Military Academy West Point,https://logo.clearbit.com/westpoint.edu,89,"West Point, N.Y."
17,Sam Houston State University,https://static01.nyt.com/newsgraphics/2020/07/20/college-coronavirus-cases/8b8985d30e09c84d02fe62f34c473cb665183907/logos/2534.png,88,"Huntsville, Texas"
18,Oregon Health & Science University,https://logo.clearbit.com/ohsu.edu,83,"Portland, Ore."
19,University of Mississippi,https://static01.nyt.com/newsgraphics/2020/07/20/college-coronavirus-cases/8b8985d30e09c84d02fe62f34c473cb665183907/logos/145.png,81,"Oxford, Miss."
20,Georgetown University,https://static01.nyt.com/newsgraphics/2020/07/20/college-coronavirus-cases/8b8985d30e09c84d02fe62f34c473cb665183907/logos/46.png,80,"Washington, D.C."
21,"University of California, Irvine",https://static01.nyt.com/newsgraphics/2020/07/20/college-coronavirus-cases/8b8985d30e09c84d02fe62f34c473cb665183907/logos/uci.jpg,77,"Irvine , Calif."
22,Montclair State University,https://logo.clearbit.com/montclair.edu,63,"Montclair, N.J."
23,University of Houston-Downtown,https://static01.nyt.com/newsgraphics/2020/07/20/college-coronavirus-cases/8b8985d30e09c84d02fe62f34c473cb665183907/logos/uhd.jpg,61,Houston
24,Rice University,https://static01.nyt.com/newsgraphics/2020/07/20/college-coronavirus-cases/8b8985d30e09c84d02fe62f34c473cb665183907/logos/242.png,59,Houston
25,Missouri State University,https://static01.nyt.com/newsgraphics/2020/07/20/college-coronavirus-cases/8b8985d30e09c84d02fe62f34c473cb665183907/logos/2623.png,57,"Springfield, Mo."
26,Utah State University,https://static01.nyt.com/newsgraphics/2020/07/20/college-coronavirus-cases/8b8985d30e09c84d02fe62f34c473cb665183907/logos/328.png,52,"Logan, Utah"
27,Brigham Young University,https://static01.nyt.com/newsgraphics/2020/07/20/college-coronavirus-cases/8b8985d30e09c84d02fe62f34c473cb665183907/logos/252.png,51,"Provo, Utah"
28,Boise State University,https://static01.nyt.com/newsgraphics/2020/07/20/college-coronavirus-cases/8b8985d30e09c84d02fe62f34c473cb665183907/logos/68.png,50,"Boise , Idaho"
29,Southern Methodist University,https://static01.nyt.com/newsgraphics/2020/07/20/college-coronavirus-cases/8b8985d30e09c84d02fe62f34c473cb665183907/logos/2567.png,49,Dallas
30,University of Southern Mississippi,https://static01.nyt.com/newsgraphics/2020/07/20/college-coronavirus-cases/8b8985d30e09c84d02fe62f34c473cb665183907/logos/2572.png,49,"Hattiesburg, Miss."
31,Princeton University,https://static01.nyt.com/newsgraphics/2020/07/20/college-coronavirus-cases/8b8985d30e09c84d02fe62f34c473cb665183907/logos/163.png,48,"Princeton, N.J."
32,"University of California, Davis",https://static01.nyt.com/newsgraphics/2020/07/20/college-coronavirus-cases/8b8985d30e09c84d02fe62f34c473cb665183907/logos/302.png,47,"Davis, Calif."
33,Clemson University*,https://static01.nyt.com/newsgraphics/2020/07/20/college-coronavirus-cases/8b8985d30e09c84d02fe62f34c473cb665183907/logos/228.png,47,"Clemson, S.C."
34,University of Oregon,https://static01.nyt.com/newsgraphics/2020/07/20/college-coronavirus-cases/8b8985d30e09c84d02fe62f34c473cb665183907/logos/2483.png,42,"Eugene, Ore."
35,Baylor University*,https://static01.nyt.com/newsgraphics/2020/07/20/college-coronavirus-cases/8b8985d30e09c84d02fe62f34c473cb665183907/logos/239.png,42,"Waco, Texas"
36,Northwestern University,https://static01.nyt.com/newsgraphics/2020/07/20/college-coronavirus-cases/8b8985d30e09c84d02fe62f34c473cb665183907/logos/77.png,41,"Evanston, Ill."
37,Georgia Southern University*,https://static01.nyt.com/newsgraphics/2020/07/20/college-coronavirus-cases/8b8985d30e09c84d02fe62f34c473cb665183907/logos/290.png,40,"Statesboro, Ga."
38,Southern University and A&M College,https://static01.nyt.com/newsgraphics/2020/07/20/college-coronavirus-cases/8b8985d30e09c84d02fe62f34c473cb665183907/logos/southernam.jpg,39,"Baton Rouge, La."
39,University of Pittsburgh,https://static01.nyt.com/newsgraphics/2020/07/20/college-coronavirus-cases/8b8985d30e09c84d02fe62f34c473cb665183907/logos/221.png,39,Pittsburgh
40,"California State University, Long Beach",https://logo.clearbit.com/csulb.edu,38,"Long Beach, Calif."
41,Oakland University,https://logo.clearbit.com/oakland.edu,37,"Rochester, Mich."
42,University of North Carolina at Chapel Hill*,https://static01.nyt.com/newsgraphics/2020/07/20/college-coronavirus-cases/8b8985d30e09c84d02fe62f34c473cb665183907/logos/153.png,37,"Chapel Hill, N.C."
43,Greenville Technical College,https://logo.clearbit.com/gvltec.edu,36,"Greenville, S.C."
44,Mississippi State University,https://static01.nyt.com/newsgraphics/2020/07/20/college-coronavirus-cases/8b8985d30e09c84d02fe62f34c473cb665183907/logos/344.png,33,"Mississippi State, Miss."
45,"University of Nevada, Reno",https://logo.clearbit.com/unr.edu,33,"Reno, Nev."
46,"University of Nevada, Las Vegas",https://static01.nyt.com/newsgraphics/2020/07/20/college-coronavirus-cases/8b8985d30e09c84d02fe62f34c473cb665183907/logos/2439.png,33,Las Vegas
47,Jacksonville State University,https://static01.nyt.com/newsgraphics/2020/07/20/college-coronavirus-cases/8b8985d30e09c84d02fe62f34c473cb665183907/logos/55.png,33,"Jacksonville, Ala."
48,University of North Carolina Wilmington,https://logo.clearbit.com/uncw.edu,33,"Wilmington, N.C."
49,Worcester State University,https://logo.clearbit.com/worcester.edu,33,"Worcester, Mass."
50,University of North Alabama,https://static01.nyt.com/newsgraphics/2020/07/20/college-coronavirus-cases/8b8985d30e09c84d02fe62f34c473cb665183907/logos/2453.png,32,"Florence, Ala."
51,South Texas College,https://logo.clearbit.com/southtexascollege.edu,31,"McAllen, Texas"
52,SUNY New Paltz,https://logo.clearbit.com/newpaltz.edu,31,"New Paltz, N.Y."
53,East Carolina University,https://static01.nyt.com/newsgraphics/2020/07/20/college-coronavirus-cases/8b8985d30e09c84d02fe62f34c473cb665183907/logos/151.png,30,"Greenville, N.C."
54,Kansas State University*,https://static01.nyt.com/newsgraphics/2020/07/20/college-coronavirus-cases/8b8985d30e09c84d02fe62f34c473cb665183907/logos/2306.png,29,"Manhattan, Kan."
55,University of Southern California,https://static01.nyt.com/newsgraphics/2020/07/20/college-coronavirus-cases/8b8985d30e09c84d02fe62f34c473cb665183907/logos/30.png,28,Los Angeles
56,New Mexico State University*,https://static01.nyt.com/newsgraphics/2020/07/20/college-coronavirus-cases/8b8985d30e09c84d02fe62f34c473cb665183907/logos/166.png,27,"Las Cruces, N.M."
57,Texas Woman’s University,https://logo.clearbit.com/twu.edu,27,"Denton, Texas"
58,University of Chicago,https://logo.clearbit.com/UCHICAGO.EDU,26,Chicago
59,Texas A&M University-Kingsville,https://logo.clearbit.com/TAMUK.EDU,26,"Kingsville, Texas"
